TICKER,DURATION,PERIODEND,INDEXNAME,FORECAST_VALUE,ORIGINAL_VALUE,FORECAST_CUMULATIVEVALUE,ORIGINAL_CUMULATIVEVALUE,COMMENT,FORECAST_ERROR_PERCENTAGE,RELEASEDDATE,YOYCHANGE,INDEXHEALTH
ADBE,Est. Quarter,2019-03-31,Global Transaction Index,6.6730450048917636,4.267586353999996,59.99064261889176,55.470120110580645,QTD Forecast,56.3658%,,,
ADBE,Est. Quarter,2019-06-30,Global Transaction Index,6.589092328660309,6.694157547999986,64.17427629766031,62.086301506333335,QTD Forecast,-1.5695%,,,
ADBE,Est. Quarter,2019-09-30,Global Transaction Index,6.853835489735707,7.043704928,71.13317700573572,68.97508913610001,QTD Forecast,-2.6956%,,,
ADBE,Est. Quarter,2019-12-31,Global Transaction Index,7.52353673077558,7.600266422,78.84658317477557,76.42316316148387,QTD Forecast,-1.0096%,,,
ADBE,Est. Quarter,2020-03-31,Global Transaction Index,7.981451926231248,8.046473574000004,86.90476479223123,84.28750951967741,QTD Forecast,-0.8081%,,,
ADBE,Est. Quarter,2020-06-30,Global Transaction Index,8.480517459434402,8.641778243,95.4503038994344,92.76296764893333,QTD Forecast,-1.8661%,,,
ADBE,Est. Quarter,2020-09-30,Global Transaction Index,9.145763616678778,9.371070139000006,104.75732829967879,101.8775741023,QTD Forecast,-2.4043%,,,
ADBE,Est. Quarter,2020-12-31,Global Transaction Index,9.975409596668545,10.008388374999997,114.95804441966855,111.74484720638709,QTD Forecast,-0.3295%,,,
ADBE,Est. Quarter,2021-03-31,Global Transaction Index,10.606091658118935,10.494239117000001,125.59711485611894,122.05680145080646,QTD Forecast,1.0658%,,,
ADBE,Est. Quarter,2021-06-30,Global Transaction Index,10.755576279298102,10.959454794000004,136.24083859329812,132.83257368863335,QTD Forecast,-1.8603%,,,
ADBE,Est. Quarter,2021-09-30,Global Transaction Index,10.997056017162146,11.233033074999996,147.44177312616213,143.9790969023333,QTD Forecast,-2.1007%,,,
ADBE,Est. Quarter,2021-12-31,Global Transaction Index,11.748927911474524,11.736001446999982,159.42667809547453,155.6422096926129,QTD Forecast,0.1101%,,,
ADBE,Est. Quarter,2022-03-31,Global Transaction Index,12.259332793519132,12.162219456000008,171.6730844245191,167.5809191266774,QTD Forecast,0.7985%,,,
ADBE,Est. Quarter,2022-06-30,Global Transaction Index,12.416505243121028,12.570382780000017,183.99247633112105,180.05789040473334,QTD Forecast,-1.2241%,,,
ADBE,Est. Quarter,2022-09-30,Global Transaction Index,12.574497967397992,12.807703482000013,196.72085183439802,192.76148170203334,QTD Forecast,-1.8208%,,,
ADBE,Est. Quarter,2022-12-31,Global Transaction Index,13.181097096697583,13.13758619800001,210.1351544456976,205.88936743829032,QTD Forecast,0.3312%,,,
ADBE,Est. Quarter,2023-03-31,Global Transaction Index,13.459662014836733,13.359229115999971,223.55130556183676,219.05847036880647,QTD Forecast,0.7518%,,,
ADBE,Est. Quarter,2023-06-30,Global Transaction Index,13.622124628957199,13.850679936000015,237.0729972929572,232.75637044803332,QTD Forecast,-1.6501%,,,
ADBE,Est. Quarter,2023-09-30,Global Transaction Index,13.861658113239859,14.127828336000015,251.16321071223985,246.79854857933333,QTD Forecast,-1.8840%,,,
ADBE,Est. Quarter,2023-12-31,Global Transaction Index,14.508184069076258,14.517762116999998,265.93756500407625,261.2643076136129,QTD Forecast,-0.0660%,,,
ADBE,Est. Quarter,2024-03-31,Global Transaction Index,15.175546953571395,15.040637672000019,281.1226900065714,276.1463673217742,QTD Forecast,0.8970%,,,
ADBE,Est. Quarter,2024-06-30,Global Transaction Index,15.221612999429325,15.313554038000015,296.20939372442933,291.38591536946666,QTD Forecast,-0.6004%,,,
ADBE,Est. Quarter,2024-09-30,Global Transaction Index,15.193749903777821,15.495221805999979,311.4950846657778,306.71098276973333,QTD Forecast,-1.9456%,,,
ADBE,Est. Quarter,2024-12-31,Global Transaction Index,15.765654561321124,15.758687848999996,327.56221112932116,322.48390764603226,QTD Forecast,0.0442%,,,
ADBE,Est. Quarter,2025-03-31,Global Transaction Index,16.134473798127154,15.999052269999982,343.6897182151272,338.30403084635486,QTD Forecast,0.8464%,,,
ADBE,Est. Quarter,2025-06-30,Global Transaction Index,16.065010348695697,16.26548727400001,359.61930703569567,354.52856995729996,QTD Forecast,-1.2325%,,,
ADBE,Est. Quarter,2016-06-30,Global Transaction Index (Legacy),3.1191016779737173,3.1625262229999955,4.119101676973717,3.1253070551666666,QTD Forecast,-1.3731%,,,
ADBE,Est. Quarter,2016-09-30,Global Transaction Index (Legacy),3.359176141820739,3.4489917359999973,7.52170236482074,6.462139581166666,QTD Forecast,-2.6041%,,,
ADBE,Est. Quarter,2016-12-31,Global Transaction Index (Legacy),3.724061216739189,3.7493633489999985,11.335579175739191,10.12966276316129,QTD Forecast,-0.6748%,,,
ADBE,Est. Quarter,2017-03-31,Global Transaction Index (Legacy),4.049423862084822,4.050889699999996,15.410305170084825,14.051434951225806,QTD Forecast,-0.0362%,,,
